id,Geography,population,medianHouseholdIncome
16017,"Bonner County, Idaho",41389,43697
16019,"Bonneville County, Idaho",108989,52831
16021,"Boundary County, Idaho",11141,39279
16023,"Butte County, Idaho",2592,39653
16025,"Camas County, Idaho",968,42708
16027,"Canyon County, Idaho",202782,44860
16029,"Caribou County, Idaho",6813,57957
16031,"Cassia County, Idaho",23441,46215
16033,"Clark County, Idaho",960,32422
16035,"Clearwater County, Idaho",8528,40266
16037,"Custer County, Idaho",4185,39497
16039,"Elmore County, Idaho",26103,44444
16041,"Franklin County, Idaho",13013,50500
16043,"Fremont County, Idaho",12896,49973
16045,"Gem County, Idaho",16853,40767
16047,"Gooding County, Idaho",15157,40704
16049,"Idaho County, Idaho",16251,38597
16051,"Jefferson County, Idaho",27096,54646
16053,"Jerome County, Idaho",22694,44447
16055,"Kootenai County, Idaho",147716,50924
16057,"Latah County, Idaho",38593,42133
16059,"Lemhi County, Idaho",7743,34762
16061,"Lewis County, Idaho",3826,38068
16063,"Lincoln County, Idaho",5292,44500
16065,"Madison County, Idaho",38114,33856
16067,"Minidoka County, Idaho",20331,46147
16069,"Nez Perce County, Idaho",39995,49541
16071,"Oneida County, Idaho",4269,40564
16073,"Owyhee County, Idaho",11356,34785
16075,"Payette County, Idaho",22773,45670
16077,"Power County, Idaho",7696,46318
16079,"Shoshone County, Idaho",12551,37449
16081,"Teton County, Idaho",10437,58173
16083,"Twin Falls County, Idaho",80955,45500
16085,"Valley County, Idaho",9897,53630
16087,"Washington County, Idaho",10035,37525
17001,"Adams County, Illinois",66949,48065
17003,"Alexander County, Illinois",7051,29071
17005,"Bond County, Illinois",17137,52159
17007,"Boone County, Illinois",53656,60063
17009,"Brown County, Illinois",6836,52500
17011,"Bureau County, Illinois",33822,51425
17013,"Calhoun County, Illinois",4962,52949
17015,"Carroll County, Illinois",14793,50052
17017,"Cass County, Illinois",13068,48887
17019,"Champaign County, Illinois",206420,48899
17021,"Christian County, Illinois",33888,47417
17023,"Clark County, Illinois",16089,48693
17025,"Clay County, Illinois",13466,45984
17027,"Clinton County, Illinois",37858,63929
17029,"Coles County, Illinois",52802,38800
17031,"Cook County, Illinois",5227575,56902
17033,"Crawford County, Illinois",19441,47364
17035,"Cumberland County, Illinois",10890,44281
17037,"DeKalb County, Illinois",104458,56076
17039,"De Witt County, Illinois",16322,53510
17041,"Douglas County, Illinois",19770,52984
17043,"DuPage County, Illinois",930514,81521
17045,"Edgar County, Illinois",17828,46440
17047,"Edwards County, Illinois",6612,47035
17049,"Effingham County, Illinois",34356,52977
17051,"Fayette County, Illinois",22025,44745
17053,"Ford County, Illinois",13758,49257
17055,"Franklin County, Illinois",39503,39507
17057,"Fulton County, Illinois",36047,46183
17059,"Gallatin County, Illinois",5325,41269
17061,"Greene County, Illinois",13390,42880
17063,"Grundy County, Illinois",50338,67162
17065,"Hamilton County, Illinois",8251,45076
17067,"Hancock County, Illinois",18633,50077
17069,"Hardin County, Illinois",4173,39926
17071,"Henderson County, Illinois",6966,46216
17073,"Henry County, Illinois",49681,54757
17075,"Iroquois County, Illinois",28814,47823
17077,"Jackson County, Illinois",59188,33845
17079,"Jasper County, Illinois",9592,56305
17081,"Jefferson County, Illinois",38523,43467
17083,"Jersey County, Illinois",22441,52738
17085,"Jo Daviess County, Illinois",22186,54702
17087,"Johnson County, Illinois",12866,44179
17089,"Kane County, Illinois",526615,71602
17091,"Kankakee County, Illinois",111493,54697
17093,"Kendall County, Illinois",121452,85736
17095,"Knox County, Illinois",51752,40605
17097,"Lake County, Illinois",702890,79886
17099,"LaSalle County, Illinois",111935,51684
17101,"Lawrence County, Illinois",16582,42650
17103,"Lee County, Illinois",34718,55067
17105,"Livingston County, Illinois",37278,54074
17107,"Logan County, Illinois",29820,52676
17109,"McDonough County, Illinois",31727,41484
17111,"McHenry County, Illinois",307083,79836
17113,"McLean County, Illinois",173254,63420
17115,"Macon County, Illinois",108404,47477
17117,"Macoupin County, Illinois",46482,52337
17119,"Madison County, Illinois",266759,54573
17121,"Marion County, Illinois",38503,43427
17123,"Marshall County, Illinois",12060,54189
17125,"Mason County, Illinois",13931,43125
17127,"Massac County, Illinois",14883,42706
17129,"Menard County, Illinois",12576,60420
