id,Geography,medianHomeValue
13255,"Spalding County, Georgia",110300
13257,"Stephens County, Georgia",95900
13259,"Stewart County, Georgia",52200
13261,"Sumter County, Georgia",86900
13263,"Talbot County, Georgia",75000
13265,"Taliaferro County, Georgia",57000
13267,"Tattnall County, Georgia",85600
13269,"Taylor County, Georgia",60200
13271,"Telfair County, Georgia",57700
13273,"Terrell County, Georgia",86500
13275,"Thomas County, Georgia",126500
13277,"Tift County, Georgia",118300
13279,"Toombs County, Georgia",93600
13281,"Towns County, Georgia",189400
13283,"Treutlen County, Georgia",71300
13285,"Troup County, Georgia",120300
13287,"Turner County, Georgia",73000
13289,"Twiggs County, Georgia",58600
13291,"Union County, Georgia",185400
13293,"Upson County, Georgia",83600
13295,"Walker County, Georgia",107500
13297,"Walton County, Georgia",157400
13299,"Ware County, Georgia",77100
13301,"Warren County, Georgia",62100
13303,"Washington County, Georgia",79400
13305,"Wayne County, Georgia",98600
13307,"Webster County, Georgia",50700
13309,"Wheeler County, Georgia",48300
13311,"White County, Georgia",155200
13313,"Whitfield County, Georgia",120200
13315,"Wilcox County, Georgia",67300
13317,"Wilkes County, Georgia",87200
13319,"Wilkinson County, Georgia",69600
13321,"Worth County, Georgia",77800
15001,"Hawaii County, Hawaii",306000
15003,"Honolulu County, Hawaii",602700
15005,"Kalawao County, Hawaii",-
15007,"Kauai County, Hawaii",493800
15009,"Maui County, Hawaii",528500
16001,"Ada County, Idaho",200200
16003,"Adams County, Idaho",160700
16005,"Bannock County, Idaho",146600
16007,"Bear Lake County, Idaho",136700
16009,"Benewah County, Idaho",147800
16011,"Bingham County, Idaho",143500
16013,"Blaine County, Idaho",384800
16015,"Boise County, Idaho",188300
16017,"Bonner County, Idaho",212100
16019,"Bonneville County, Idaho",157100
16021,"Boundary County, Idaho",174500
16023,"Butte County, Idaho",101300
16025,"Camas County, Idaho",170600
16027,"Canyon County, Idaho",131300
16029,"Caribou County, Idaho",125900
16031,"Cassia County, Idaho",130100
16033,"Clark County, Idaho",103600
16035,"Clearwater County, Idaho",129500
