Id2,Geography,OneHundredPlus
13029,"Bryan County, Georgia",30.6
13031,"Bulloch County, Georgia",13.6
13033,"Burke County, Georgia",12.7
13035,"Butts County, Georgia",15.7
13037,"Calhoun County, Georgia",9.7
13039,"Camden County, Georgia",18.3
13043,"Candler County, Georgia",7.9
13045,"Carroll County, Georgia",14.8
13047,"Catoosa County, Georgia",17.7
13049,"Charlton County, Georgia",15.5
13051,"Chatham County, Georgia",20
13053,"Chattahoochee County, Georgia",10.4
13055,"Chattooga County, Georgia",7.7
13057,"Cherokee County, Georgia",33.3
13059,"Clarke County, Georgia",13.8
13061,"Clay County, Georgia",4.7
13063,"Clayton County, Georgia",11.1
13065,"Clinch County, Georgia",10.8
13067,"Cobb County, Georgia",32.5
13069,"Coffee County, Georgia",10
13071,"Colquitt County, Georgia",11.1
13073,"Columbia County, Georgia",31.5
13075,"Cook County, Georgia",9.4
13077,"Coweta County, Georgia",27.1
13079,"Crawford County, Georgia",13
13081,"Crisp County, Georgia",10.4
13083,"Dade County, Georgia",16.4
13085,"Dawson County, Georgia",25
13087,"Decatur County, Georgia",11.1
13089,"DeKalb County, Georgia",24
13091,"Dodge County, Georgia",11.7
13093,"Dooly County, Georgia",8.8
13095,"Dougherty County, Georgia",11.3
13097,"Douglas County, Georgia",21
13099,"Early County, Georgia",8.8
13101,"Echols County, Georgia",14.1
13103,"Effingham County, Georgia",24.8
13105,"Elbert County, Georgia",12.1
13107,"Emanuel County, Georgia",8.4
13109,"Evans County, Georgia",12.6
13111,"Fannin County, Georgia",12.2
13113,"Fayette County, Georgia",40.5
13115,"Floyd County, Georgia",15.5
13117,"Forsyth County, Georgia",46.8
13119,"Franklin County, Georgia",9.4
13121,"Fulton County, Georgia",30.3
13123,"Gilmer County, Georgia",12.5
13125,"Glascock County, Georgia",7.4
13127,"Glynn County, Georgia",19.4
13129,"Gordon County, Georgia",12.8
13131,"Grady County, Georgia",9.8
13133,"Greene County, Georgia",19.7
13135,"Gwinnett County, Georgia",26.7
13137,"Habersham County, Georgia",12.1
13139,"Hall County, Georgia",20.3
13141,"Hancock County, Georgia",6.3
13143,"Haralson County, Georgia",16.3
13145,"Harris County, Georgia",30.6
13147,"Hart County, Georgia",12.2
13149,"Heard County, Georgia",12.7
13151,"Henry County, Georgia",23.3
13153,"Houston County, Georgia",20.9
13155,"Irwin County, Georgia",9.8
13157,"Jackson County, Georgia",20.3
13159,"Jasper County, Georgia",12.5
13161,"Jeff Davis County, Georgia",10.7
13163,"Jefferson County, Georgia",7.1
13165,"Jenkins County, Georgia",8.6
13167,"Johnson County, Georgia",8.2
13169,"Jones County, Georgia",20.2
13171,"Lamar County, Georgia",13.3
13173,"Lanier County, Georgia",8.1
13175,"Laurens County, Georgia",12.1
13177,"Lee County, Georgia",28.5
13179,"Liberty County, Georgia",10.5
13181,"Lincoln County, Georgia",12.7
13183,"Long County, Georgia",10.9
13185,"Lowndes County, Georgia",13.5
13187,"Lumpkin County, Georgia",12.7
13189,"McDuffie County, Georgia",13
13191,"McIntosh County, Georgia",13.7
13193,"Macon County, Georgia",4.5
13195,"Madison County, Georgia",13.4
13197,"Marion County, Georgia",8.2
13199,"Meriwether County, Georgia",10.1
13201,"Miller County, Georgia",11.6
13205,"Mitchell County, Georgia",7.6
13207,"Monroe County, Georgia",21.5
13209,"Montgomery County, Georgia",12.1
13211,"Morgan County, Georgia",18
13213,"Murray County, Georgia",8.3
13215,"Muscogee County, Georgia",14.3
13217,"Newton County, Georgia",17.4
13219,"Oconee County, Georgia",37.8
13221,"Oglethorpe County, Georgia",10.3
13223,"Paulding County, Georgia",23.4
13225,"Peach County, Georgia",15.6
13227,"Pickens County, Georgia",23.6
13229,"Pierce County, Georgia",14.2
13231,"Pike County, Georgia",20.5
13233,"Polk County, Georgia",11.4
13235,"Pulaski County, Georgia",10.2
13237,"Putnam County, Georgia",16.7
13239,"Quitman County, Georgia",2.5
13241,"Rabun County, Georgia",12.8
13243,"Randolph County, Georgia",6.1
13245,"Richmond County, Georgia",12.3
13247,"Rockdale County, Georgia",18
13249,"Schley County, Georgia",11.8
13251,"Screven County, Georgia",11.2
13253,"Seminole County, Georgia",11.1
13255,"Spalding County, Georgia",12
13257,"Stephens County, Georgia",12.8
13259,"Stewart County, Georgia",3.7
13261,"Sumter County, Georgia",11.8
13263,"Talbot County, Georgia",8.3
13265,"Taliaferro County, Georgia",3.6
13267,"Tattnall County, Georgia",11.6
13269,"Taylor County, Georgia",8.6
13271,"Telfair County, Georgia",5
13273,"Terrell County, Georgia",7.7
13275,"Thomas County, Georgia",12.7
13277,"Tift County, Georgia",14.4
13279,"Toombs County, Georgia",10.3
13281,"Towns County, Georgia",10.3
13283,"Treutlen County, Georgia",6.7
13285,"Troup County, Georgia",14.8
13287,"Turner County, Georgia",8.7
13289,"Twiggs County, Georgia",15.9
13291,"Union County, Georgia",11.9
13293,"Upson County, Georgia",8.6
13295,"Walker County, Georgia",12
13297,"Walton County, Georgia",20
13299,"Ware County, Georgia",10
13301,"Warren County, Georgia",7.9
13303,"Washington County, Georgia",11.7
13305,"Wayne County, Georgia",12.4
13307,"Webster County, Georgia",11
13309,"Wheeler County, Georgia",4.9
13311,"White County, Georgia",13.6
13313,"Whitfield County, Georgia",13.7
13315,"Wilcox County, Georgia",9.6
13317,"Wilkes County, Georgia",9.5
13319,"Wilkinson County, Georgia",9.4
13321,"Worth County, Georgia",9
15001,"Hawaii County, Hawaii",22.4
15003,"Honolulu County, Hawaii",37.1
15005,"Kalawao County, Hawaii",32.8
15007,"Kauai County, Hawaii",30.3
15009,"Maui County, Hawaii",30.5
16001,"Ada County, Idaho",24.2
16003,"Adams County, Idaho",11.7
16005,"Bannock County, Idaho",16
16007,"Bear Lake County, Idaho",11.3
16009,"Benewah County, Idaho",11.7
16011,"Bingham County, Idaho",15.7
16013,"Blaine County, Idaho",23.9
16015,"Boise County, Idaho",21.8
16017,"Bonner County, Idaho",11.7
16019,"Bonneville County, Idaho",19.9
16021,"Boundary County, Idaho",13.3
16023,"Butte County, Idaho",14.6
16025,"Camas County, Idaho",12.7
16027,"Canyon County, Idaho",11.6
16029,"Caribou County, Idaho",16
16031,"Cassia County, Idaho",12.3
16033,"Clark County, Idaho",5.9
16035,"Clearwater County, Idaho",10.3
16037,"Custer County, Idaho",10.2
16039,"Elmore County, Idaho",13.9
16041,"Franklin County, Idaho",13.1
16043,"Fremont County, Idaho",13.8
16045,"Gem County, Idaho",8.8
16047,"Gooding County, Idaho",11.6
16049,"Idaho County, Idaho",7.2
16051,"Jefferson County, Idaho",18.2
16053,"Jerome County, Idaho",11.5
16055,"Kootenai County, Idaho",18.4
16057,"Latah County, Idaho",16.2
16059,"Lemhi County, Idaho",9.8
16061,"Lewis County, Idaho",10
16063,"Lincoln County, Idaho",9.8
16065,"Madison County, Idaho",11.3
16067,"Minidoka County, Idaho",11.3
16069,"Nez Perce County, Idaho",14.3
16071,"Oneida County, Idaho",7.9
16073,"Owyhee County, Idaho",9.5
16075,"Payette County, Idaho",12.8
16077,"Power County, Idaho",14.8
16079,"Shoshone County, Idaho",9.1
16081,"Teton County, Idaho",19.1
16083,"Twin Falls County, Idaho",13.7
16085,"Valley County, Idaho",18
16087,"Washington County, Idaho",9.1
17001,"Adams County, Illinois",15.3
17003,"Alexander County, Illinois",7.3
17005,"Bond County, Illinois",18.2
17007,"Boone County, Illinois",24.7
17009,"Brown County, Illinois",16.5
17011,"Bureau County, Illinois",18.1
17013,"Calhoun County, Illinois",15.8
17015,"Carroll County, Illinois",15.5
17017,"Cass County, Illinois",14.9
17019,"Champaign County, Illinois",20.3
17021,"Christian County, Illinois",13.9
17023,"Clark County, Illinois",13.5
17025,"Clay County, Illinois",13.4
17027,"Clinton County, Illinois",27.4
17029,"Coles County, Illinois",12.8
17031,"Cook County, Illinois",26.8
17033,"Crawford County, Illinois",18.4
17035,"Cumberland County, Illinois",14.1
17037,"DeKalb County, Illinois",22.4
17039,"De Witt County, Illinois",18.6
17041,"Douglas County, Illinois",17.5
17043,"DuPage County, Illinois",40.1
17045,"Edgar County, Illinois",13.7
17047,"Edwards County, Illinois",15.1
17049,"Effingham County, Illinois",19.5
17051,"Fayette County, Illinois",14.9
17053,"Ford County, Illinois",15.5
17055,"Franklin County, Illinois",11.4
17057,"Fulton County, Illinois",13.5
17059,"Gallatin County, Illinois",11.9
17061,"Greene County, Illinois",11.8
17063,"Grundy County, Illinois",30.7
17065,"Hamilton County, Illinois",16.8
17067,"Hancock County, Illinois",14.4
17069,"Hardin County, Illinois",12.6
17071,"Henderson County, Illinois",13.6
17073,"Henry County, Illinois",19.8
17075,"Iroquois County, Illinois",14.8
17077,"Jackson County, Illinois",13.9
17079,"Jasper County, Illinois",17.1
17081,"Jefferson County, Illinois",15.4
17083,"Jersey County, Illinois",19.7
17085,"Jo Daviess County, Illinois",19.3
17087,"Johnson County, Illinois",16.9
17089,"Kane County, Illinois",34.3
17091,"Kankakee County, Illinois",20.1
17093,"Kendall County, Illinois",39.1
17095,"Knox County, Illinois",12.7
17097,"Lake County, Illinois",40.4
17099,"LaSalle County, Illinois",19.3
17101,"Lawrence County, Illinois",10.4
17103,"Lee County, Illinois",19.3
17105,"Livingston County, Illinois",19.2
17107,"Logan County, Illinois",16.6
17109,"McDonough County, Illinois",16.6
17111,"McHenry County, Illinois",36.7
17113,"McLean County, Illinois",29
17115,"Macon County, Illinois",17.2
17117,"Macoupin County, Illinois",17.9
17119,"Madison County, Illinois",22.2
17121,"Marion County, Illinois",12.5
17123,"Marshall County, Illinois",19.6
17125,"Mason County, Illinois",14.2
17127,"Massac County, Illinois",12.9
17129,"Menard County, Illinois",24.4
17131,"Mercer County, Illinois",17.2
17133,"Monroe County, Illinois",33.2
17135,"Montgomery County, Illinois",14.2
17137,"Morgan County, Illinois",17.1
17139,"Moultrie County, Illinois",17.9
17141,"Ogle County, Illinois",22.9
17143,"Peoria County, Illinois",21
17145,"Perry County, Illinois",13.6
17147,"Piatt County, Illinois",27.6
17149,"Pike County, Illinois",12.1
17151,"Pope County, Illinois",11.9
17153,"Pulaski County, Illinois",8.6
17155,"Putnam County, Illinois",22.1
17157,"Randolph County, Illinois",14.8
17159,"Richland County, Illinois",13.8
17161,"Rock Island County, Illinois",18.2
17163,"St. Clair County, Illinois",21.8
17165,"Saline County, Illinois",13.4
17167,"Sangamon County, Illinois",24
17169,"Schuyler County, Illinois",13.5
17171,"Scott County, Illinois",15.5
17173,"Shelby County, Illinois",13.3
17175,"Stark County, Illinois",17.3
17177,"Stephenson County, Illinois",15.4
17179,"Tazewell County, Illinois",23.2
17181,"Union County, Illinois",14.4
17183,"Vermilion County, Illinois",13.2
17185,"Wabash County, Illinois",14.9
17187,"Warren County, Illinois",14.8
17189,"Washington County, Illinois",21.5
17191,"Wayne County, Illinois",13
17193,"White County, Illinois",12.6
17195,"Whiteside County, Illinois",15.7
17197,"Will County, Illinois",37
17199,"Williamson County, Illinois",17.1
17201,"Winnebago County, Illinois",17.5
17203,"Woodford County, Illinois",28.7
18001,"Adams County, Indiana",13.7
18003,"Allen County, Indiana",17.2
18005,"Bartholomew County, Indiana",21.3
18007,"Benton County, Indiana",13.7
18009,"Blackford County, Indiana",9.2
18011,"Boone County, Indiana",35.6
18013,"Brown County, Indiana",20.9
18015,"Carroll County, Indiana",19.1
18017,"Cass County, Indiana",11.6
18019,"Clark County, Indiana",17.1
18021,"Clay County, Indiana",13.8
18023,"Clinton County, Indiana",17
18025,"Crawford County, Indiana",8.5
18027,"Daviess County, Indiana",15.5
18029,"Dearborn County, Indiana",24.2
18031,"Decatur County, Indiana",14.8
18033,"DeKalb County, Indiana",15
18035,"Delaware County, Indiana",12.1
18037,"Dubois County, Indiana",19.4
18039,"Elkhart County, Indiana",14.5
18041,"Fayette County, Indiana",10.7
18043,"Floyd County, Indiana",23.1
18045,"Fountain County, Indiana",14.2
18047,"Franklin County, Indiana",18
18049,"Fulton County, Indiana",11.3
18051,"Gibson County, Indiana",16.9
18053,"Grant County, Indiana",9
